Tên,Lớp,Giới tính,Diem1,Diem2,Diem3,Diem4,Diem5,Diem6,Diem7,Diem8,Diem9,Diem10
Bùi Thu Nhi,11B2,Nữ,9.25,10,0.5,7.5,2.25,7,5.5,6.75,8,10
Huỳnh Phương Nhi,3A3,Nữ,8.75,0,0.75,5.25,6.25,7.5,1,5.5,6.5,2
Vũ Minh Huy,1B2,Nam,1.5,5.75,1.75,4.5,5.75,2.25,0.5,4.75,8.75,8.75
Phan Phương Trâm,1A2,Nữ,2,5.25,7.5,2.75,7,6,9.5,7,10,1.5
Nguyễn Minh Phong,8B2,Nam,0.25,4,1,6.25,3.5,8.5,1,5.5,5.75,9.75
Huỳnh Thu Nhi,11B1,Nữ,2.75,2.25,0.75,0.5,3.5,0.25,2,10,3.5,3
Nguyễn Đình Minh,4B1,Nam,8.5,6.5,2.25,5,2.75,4.5,3.25,9.5,4.75,7.5
Trần Thị Yến,4A2,Nữ,6.75,6.75,5.25,9.25,2.5,6,6.25,9.25,1,7.25
Võ Gia Phong,5A2,Nam,4,10,2.75,9,5,1.75,6.75,5,1,1.25
Lê Đình Minh,5A2,Nam,1.5,7.25,2.25,2.75,7.5,7.5,9.75,6,7.25,5.75
Bùi Tuấn Dũng,9A2,Nam,7.5,6.75,1.25,5.5,5.5,6.25,6,3.75,2.25,7.5
Vũ Thanh Yến,11B2,Nữ,8.75,3.5,0.25,1,8,1,7,6.75,4,2
Hoàng Hữu Bảo,6B2,Nam,4.75,6.5,9.75,4.75,0.5,6,5.25,7.75,7.75,3
Lê Văn Dũng,1B1,Nam,5.5,2.5,6.5,9.5,5.75,0.75,6,6.5,0.5,5.25
Đặng Tuấn Sơn,12B1,Nam,8.25,3.75,4.75,6,6.25,3.5,2.5,3.75,2.25,6.25
Trần Bích Lan,9A3,Nữ,9.25,3.5,7.25,3,0.25,0,8,0.75,8.75,4.5
Nguyễn Thu Hà,6B2,Nữ,6.25,1.5,2.5,3.25,1.25,2.75,6,3.5,0.5,0.5
Vũ Gia Đạt,7B1,Nam,0,3.5,8.75,5.5,6.75,8.75,6.25,5.5,2.25,0.5
Trần Hữu Đạt,4C1,Nam,2,8.25,2.75,4.75,1,2.25,1.75,5,6.75,2.25
Đỗ Gia Thắng,4A2,Nam,7.5,2.5,0.5,6,5,7,9.5,9.25,9.5,5.25
Huỳnh Minh Minh,11A3,Nam,0.75,6.75,7.25,9,9.5,2,0,6.25,6,9.5
Trần Như Trang,1A2,Nữ,2,3.75,9.5,3.75,2.5,3.5,5.75,4.25,5.75,5.25
Vũ Như Thảo,6A1,Nữ,3.25,10,1,6,6.25,3.25,7.5,0.75,7.25,2.75
Huỳnh Hữu Bảo,3B2,Nam,1,8.5,7,3.75,3.5,9,7.5,5.5,5.5,0.75
Phan Thị Linh,11A2,Nữ,8.5,0,7,3,10,1.25,3.75,3.25,4.25,0
Hoàng Thị Nhung,4B2,Nữ,0.75,0.25,1,8,6,10,3.25,9,4.75,4.75
Hoàng Ngọc Trang,5B1,Nữ,8.75,0,3.5,6.5,2.75,3.5,9.5,4.25,5.5,4.25
Hoàng Như Trâm,4C1,Nữ,1.5,1.5,7,9.75,9.5,1,5,7.5,4.5,2
Đặng Như Linh,9B1,Nữ,9,9,4.5,1.75,8,10,8.5,2.5,4,8.75
Huỳnh Văn Sơn,9B2,Nam,0.75,6,2,5.75,3.25,9.25,9.75,3.5,2.75,7.75
Huỳnh Thu Trâm,5A2,Nữ,0,6.25,9.5,8.75,0.5,5.25,8,2.5,2.75,9.75
Đặng Thái Huy,3C1,Nam,10,1.75,7,10,1,5.25,1.5,7,1.25,6
Nguyễn Mai Nhi,11B1,Nữ,8,5,9.5,4,9.75,6.5,5.75,6,1,9.5
Phạm Gia Khoa,9A2,Nam,4.5,8.25,7.25,4.75,8.75,2.25,7.5,4.75,7,3.75
Lê Ngọc Trâm,8A1,Nữ,4.75,10,10,4.5,7.75,1.5,8.75,2,4.25,7.5
Vũ Minh Minh,2B2,Nam,0.5,8.5,1.25,3.25,5.25,5.25,2,1.25,4.75,3
Phạm Phương Trâm,12B2,Nữ,5.75,7.5,3.5,3.25,5.5,7.25,5.25,7.75,7,8.25
Phạm Thu Trang,6A3,Nữ,10,1.25,9.5,6.5,6,7,9,2,0,7.5
Hoàng Tuấn Sơn,1B2,Nam,0.25,1,6.75,8.25,5.5,6.5,0.25,7,9,4
Huỳnh Hoàng Dũng,5A3,Nam,5.25,9,9.75,1.5,9,8.25,6,0.25,1,3.75
Vũ Đức Huy,1C1,Nam,7.75,5,6,3.75,7.75,9,5.5,9,4.5,7
Trần Phương Linh,1B2,Nữ,1.25,3,2.75,0.5,0,0.5,5,8.25,9.75,4
Vũ Diễm Nhung,3C1,Nữ,6.25,7,5.75,3.25,5.25,3.25,5.5,5,7.25,3.5
Lê Bích Trâm,11A1,Nữ,6.5,5.25,3,2.25,2.25,8.5,4.25,4,9.25,8.5
Đỗ Mai Trang,4A1,Nữ,2,9.5,5.25,2,4.25,4.25,3.5,4.25,1.75,8.75
Võ Hoàng Minh,10B2,Nam,8.75,7.25,2.5,5,2.25,9,7,7,1.5,8.25
Nguyễn Minh Phong,7B1,Nam,8.25,0.25,6.75,2.5,9.25,3.5,1.25,4.75,0.75,6
Đặng Đức Long,1B1,Nam,5.75,6.75,0.75,6,4.5,5.25,5.5,0.75,2.25,6.25
Võ Thanh Nhi,10B2,Nữ,3.25,2.75,7.5,3.75,9.75,4.5,1.5,6,0.75,3.5
Nguyễn Tuấn Phong,11A2,Nam,7.5,1,1.25,8,1.25,2.75,3.25,2.75,3.75,3.25
Phạm Thu Vy,11B1,Nữ,6,2.25,8.75,4.75,8.25,4,7.25,0.75,2.75,0
Đỗ Như Trâm,12A1,Nữ,9.25,2.75,2,4.75,7.75,7.75,5.75,8.5,4.75,2.25
Trần Tuấn Thắng,3B1,Nam,2.75,5,6,1.25,7,7,1.75,10,2.25,2.25
Bùi Bích Thảo,8B2,Nữ,5.25,2,7.5,8.5,2,0.5,3.25,7,8.75,0
Phạm Thái Huy,6B1,Nam,8.5,4.25,7,5.25,0.25,2.75,4.75,8.5,5,5.75
Phạm Thanh Yến,12B1,Nữ,2.75,7,5,10,7.5,4.75,9,1,1.25,2.5
Đỗ Phương Hương,4A2,Nữ,2.5,6.5,2,2,6.75,9.25,7.5,3.25,1.25,6
Nguyễn Thị Trâm,12B1,Nữ,4.75,3,9.5,5,4.75,2.75,2.25,6,5.75,3.25
Bùi Thái Huy,4C1,Nam,7,5.75,8,3.25,3.75,8.25,8.75,9,6.25,5.75
Phạm Thanh Trang,2A2,Nữ,8,1,5,7.25,9,3,7.25,2.5,8.25,5.75
Bùi Đình Thắng,2B1,Nam,1.25,2.25,6.75,4.25,8,8,0.75,6.75,6.25,2
Vũ Tuấn Minh,1B1,Nam,2.5,8,2.25,2,2,0,8.25,8.25,1.75,1.5
Phan Phương Nhi,12C1,Nữ,0.75,9.75,5.25,9.5,8.75,4,7.75,8.5,9.75,0
Đặng Bích Nhung,8A2,Nữ,9.75,6.5,5.25,9.5,8.25,3.25,3.5,0.75,8.75,4.25
Lê Thái Dũng,4A3,Nam,4.75,0.25,6.75,8.5,2.5,2.75,8,1.5,6.75,9.75
Vũ Diễm Hà,12A1,Nữ,7.5,0.75,2.25,9.25,3,8,2.5,6,0,7.5
Bùi Thu Vy,12C1,Nữ,4.75,3.75,9.25,1.75,1.25,7.5,3.5,3.75,9.25,3.25
Đỗ Tuấn Long,3A2,Nam,0.75,8.75,4.75,5.5,5.5,3.25,2.25,6.25,3.25,4.75
Phan Đình Huy,7C1,Nam,2,5,4.75,0.5,9.25,0.5,1,2.5,4.25,4.25
Nguyễn Thị Nhung,12B2,Nữ,4,0,6.75,7,5,1.25,8,6,4.25,8.25
Đặng Bích Trâm,10A1,Nữ,8,4.25,9.5,3.25,9.25,9,6.75,3.5,3.25,7
Phạm Hữu Đạt,8A3,Nam,5.75,5.75,3,4.75,2,7,4.5,5.5,8,9.75
Lê Thái Dũng,5A2,Nam,2,8.5,6.75,4.75,9.25,8.75,2,4.5,4.25,9.75
Hoàng Đức Huy,4B1,Nam,8.25,6,1.5,3.75,7.75,8.25,6.25,8.75,7.25,3.75
Trần Văn Phong,5C1,Nam,3.5,5.25,9,7.75,8.75,3,5.5,9.75,7.5,0.5
Võ Tuấn Dũng,1C1,Nam,2,8.25,2,9.5,6.25,9,5.75,9.75,3.25,5
Bùi Thị Vy,8A3,Nữ,8.25,5.25,2,7,9,6.75,9.5,1.25,4.5,0.5
Đặng Hoàng Khoa,7B2,Nam,1.5,8,5.25,3.5,7.75,3.5,6.25,3.25,2.5,5
Nguyễn Như Vy,9B1,Nữ,1.25,8.5,5.25,10,8.75,5.5,5,4.5,7,7.5
Trần Ngọc Yến,9C1,Nữ,2.75,0.5,7,3,7.25,9.75,3,9.25,1.25,5.75
Võ Tuấn Phong,6A2,Nam,6,1.75,0.25,3.5,0.25,2.75,2.75,3.25,4,8
Đỗ Hữu Dũng,6B1,Nam,7.25,8.25,2.75,8,2,4.25,8.25,9.75,3.5,8.25
Lê Đình Hải,8C1,Nam,6.75,5.5,10,5,8.5,8.5,4.75,3.75,7,8
Đặng Đức Bảo,11A1,Nam,5,9.5,1,0.75,7,0.75,7.75,4.75,8.75,1.75
Võ Thu Linh,5C1,Nữ,1.75,1.75,6.25,3,8.25,7.5,1.75,8.25,4,2.5
Nguyễn Phương Hà,11B2,Nữ,10,1,7.75,0.5,9.25,4,2,2,3.75,3
Võ Bích Yến,10B2,Nữ,1.5,4.75,0,9.75,4.75,7,3.5,0.25,8.75,5
Lê Thanh Thảo,8A3,Nữ,5.25,3,6.5,4,4.25,1,6,5,0.5,4
Huỳnh Hữu Bảo,4A2,Nam,1.25,4.25,1.25,1.5,2.5,0.25,7.5,9.75,8,4
Phạm Diễm Linh,8B2,Nữ,6,1,0.5,7.5,1.75,0.25,7.75,3.75,10,4
Đỗ Thị Lan,1A3,Nữ,10,2.75,2,5.25,2.5,0.5,1.25,0.75,7.75,5.25
Đỗ Thanh Thảo,8A1,Nữ,5.25,8.25,0.5,7.5,4.75,5,0.75,1,7,5.25
Đỗ Tuấn Long,5B2,Nam,8.5,3.25,5.5,3.75,5,4.5,5.25,1,9.75,2.25
Đặng Gia Bảo,6B1,Nam,6.5,1.25,8.25,9,2.75,0.75,9.25,4.5,0,7.5
Đặng Đình Khoa,9C1,Nam,4.25,1.25,1.75,2.25,0,1.75,4,6.75,9.5,2
Trần Phương Thảo,10A3,Nữ,3.75,0.75,7,7.5,2.25,2,7,6.25,6,4
Võ Thái Thắng,4A3,Nam,4.25,2.75,6.75,4.75,5.25,0.5,9,2,7.5,0
Võ Hoàng Hải,2C1,Nam,2.5,5,4.75,6.25,3,6.75,6.25,6.75,7.5,7
Lê Mai Hà,2A1,Nữ,9.5,1.75,8.5,6,8,1.25,2.25,5.25,1.75,5
Đặng Đức Long,7A2,Nam,5.5,6.5,3.75,2.25,1.75,5.5,9.5,2.75,6.5,5.25
Phạm Đình Minh,10B2,Nam,3.25,1.25,4.25,9.25,4,0.75,10,3,9.75,3.25
Phan Thái Huy,4A3,Nam,5,8.5,1.75,0.75,9.25,4,2,9.25,9.25,7
Đặng Đình Thắng,8A2,Nam,6.25,5.75,4.5,6.5,1.5,7.5,8.5,5.75,0.5,0
Đặng Như Vy,8B2,Nữ,3.5,8,2.75,9.5,6.25,2,7.5,4.75,3.25,4.5
Lê Minh Long,7C1,Nam,8.5,10,6.25,4.75,7.75,3,5.25,9.75,2.25,1.5
Võ Tuấn Đạt,7A1,Nam,0.75,0.5,6.75,1.5,4.25,7.25,9,6,10,5
Nguyễn Gia Phong,7A1,Nam,2.75,3.75,9,6.25,1.5,0,5.25,4.5,1.5,9.5
Phan Hữu Dũng,6B1,Nam,8.75,4.75,3.5,9.25,8.5,3,2.25,4.25,0.5,7.25
Huỳnh Diễm Lan,3A2,Nữ,9.25,0.5,2.5,1.75,4.25,1.75,6,3.5,4,4.5
Lê Văn Hải,9A2,Nam,3.25,10,9.25,9.25,3,4.25,5.5,10,5.25,1.75
Huỳnh Ngọc Thảo,8A3,Nữ,9.75,5.75,4.5,6.5,6.75,2.25,8.5,7.75,7.25,6.25
Trần Phương Vy,3A3,Nữ,4.5,4.25,2,4.5,3.5,5.25,9.5,7.25,1,0.75
Phạm Thu Linh,9A1,Nữ,7,3.25,1.25,4,6,9.75,5.25,4.5,7.5,6
Bùi Hữu Sơn,10B2,Nam,0,1.5,1.75,2,8,6.25,3,5.75,0.25,0.25
Phan Gia Long,2B2,Nam,4.25,9.25,8.75,3.75,1.5,0.25,6.25,3.5,3.75,6
Nguyễn Phương Trâm,8A2,Nữ,3,3.75,6.75,1.5,6.5,3.75,3.25,9.5,3.75,1.5
Vũ Hữu Long,10B2,Nam,1.75,6,1.5,8.75,3.25,2,1.25,2,1.5,1.25
Vũ Thị Thảo,5B2,Nữ,4.5,3.75,8.75,0.5,8.75,6.75,0.5,4.75,2.75,2.75
Lê Văn Dũng,2A1,Nam,6.25,4,0.5,0,7.75,3.5,8.25,6.25,1.75,8
Đặng Như Thảo,10A2,Nữ,3.25,4.5,6,7.5,8.5,9,9,6,7.75,3.5
Lê Hữu Hải,1B2,Nam,8,3.5,7.25,3.25,7.75,5.5,2.5,5.25,5.25,1.75
Vũ Tuấn Phong,7A3,Nam,4.25,0.75,7.25,2.25,4,2.75,5.5,3.75,6.5,10
Lê Như Hà,4B1,Nữ,4.5,2.5,0.5,3.75,1.75,9,6.25,2.75,6.25,9.75
Bùi Tuấn Bảo,7B2,Nam,7.75,1.75,2,1,0.25,2.25,8.75,1,8.75,5.25
Trần Như Yến,4C1,Nữ,5.5,7,1,5.5,2,0.25,6,4.75,2,10
Trần Ngọc Yến,8B1,Nữ,9.75,4.75,5.5,5.75,5,9.25,0.75,8,0,7.25
Đặng Hoàng Khoa,7C1,Nam,1.75,5.25,6.25,1,2.5,8.5,3.25,9,3.25,3.5
Hoàng Thái Phong,8A2,Nam,4,0,6,5.5,3.5,4,1.75,8.75,3.75,8.25
Phạm Ngọc Nhung,6B1,Nữ,9.75,1.25,0.75,7.5,3.25,9.5,1.25,3,1,5.25
Võ Diễm Thảo,8B2,Nữ,0.25,6.5,0.25,7.5,6,4.75,9,3.75,8.5,4.75
Đỗ Đình Sơn,2A3,Nam,4.25,1.5,2.75,9.25,9.25,0.25,4.75,5.25,6.75,8.5
Trần Minh Khoa,11A2,Nam,1.5,8,8.25,7,1.75,5,8.5,4.25,7.75,3.5
Hoàng Minh Phong,11A1,Nam,8.5,3,5.25,5,0.25,1.5,0,4.25,4.25,7.75
Huỳnh Phương Yến,9B2,Nữ,7.5,7,2.75,7.25,5,8.75,6,8.75,0.25,9.75
Phan Đức Long,8A2,Nam,8.75,6.25,8,4.25,0.25,4.75,5.25,9,3,6.5
Lê Đình Long,2B1,Nam,9.5,6.25,2.5,1.5,0.5,7,6,6.25,0.75,5.25
Lê Như Nhung,8B1,Nữ,8.75,6.25,5.5,3.5,4.25,6,6.5,4.75,2.75,5.25
Phạm Tuấn Sơn,7C1,Nam,8,8,0.75,1,8.75,10,0.25,2.25,9.25,8.75
Phạm Đức Phong,12B2,Nam,10,2.75,7.25,5.25,9.75,3.75,9.75,6.5,5.5,7.5
Trần Văn Dũng,1A2,Nam,5.25,0.75,5.25,2.5,7.75,5.25,1.25,2,8.5,2.5
Huỳnh Mai Yến,5B1,Nữ,6.5,4.5,5.75,9,6.5,8.75,7.75,6.75,8.25,7.25
Đỗ Minh Long,10B2,Nam,1,5.5,4,7.75,6.25,6.75,10,9.5,1,8.75
Trần Mai Hà,9A2,Nữ,4.5,0.75,6.5,4,4,9,8.25,9.75,5.25,5.75
Võ Thái Huy,2A2,Nam,3.25,9.25,1.75,5.25,1.5,6.5,2.25,1.5,8.75,8.25
Trần Đình Khoa,9A3,Nam,8.5,3.5,2.25,5.5,3.75,1.75,8,1.25,8,7.25
Võ Thu Trâm,7C1,Nữ,4.5,2.75,8.5,6.25,0.25,7.25,1.5,0.75,1.25,4.5
Phạm Đức Thắng,5A3,Nam,1.25,0,3.75,9.75,6.75,2.75,5.25,0,9.25,3.5
Vũ Hoàng Long,9A2,Nam,4,0,1.25,8,2,5.5,7.25,1.5,0.75,5.25
Huỳnh Văn Thắng,6B1,Nam,2.5,7.25,4.75,4.5,5.5,6.5,2.75,1.75,3.25,7
Đặng Gia Phong,8A3,Nam,1.75,2.5,5.25,8.5,8.5,5.5,8,1.5,7.25,0.25
Võ Diễm Linh,2C1,Nữ,2.75,8,9.5,7.25,1.75,5.25,6.75,10,8.75,10
Bùi Thanh Yến,9B1,Nữ,6.5,9.25,5,5.75,6.5,0,2.5,9,9.25,6
Vũ Phương Hà,8A3,Nữ,9,9.5,4.5,4.5,5.5,8.25,9.25,9,10,0.5
Đặng Phương Nhi,7C1,Nữ,4,7,10,9.5,8.75,1.75,6,0.25,0.75,3.75
Bùi Hữu Bảo,10A1,Nam,8.75,1.75,5,4.25,8.25,5,7.5,8,9.25,9.75
Nguyễn Tuấn Hải,12A2,Nam,7.75,8.5,7.75,8.25,0.75,6.5,2.25,4.25,1,8.25
Phạm Đình Sơn,5B2,Nam,8,6.75,9,6.75,4.75,7,4,5,3,5
Phạm Văn Dũng,1B2,Nam,2.25,2.25,2.5,3.75,4,8,3.75,1.25,4.75,0.75
Huỳnh Minh Hải,12C1,Nam,3,3.75,4,4.5,0.25,4.25,2.5,7.25,2.25,1.5
Phạm Gia Dũng,5C1,Nam,0.5,0.25,3.75,3.75,7,7,2,0.25,8.25,2
Lê Tuấn Sơn,5B2,Nam,3,6.5,4,9.25,7.5,7.25,5.5,10,9.75,9.5
Phạm Tuấn Huy,6B1,Nam,9.25,6.5,10,1,3.5,0,7.25,3.75,0.5,4.25
Hoàng Bích Trâm,9C1,Nữ,6.75,6.5,5.75,7.75,5,6,8.75,5.25,8,9
Lê Ngọc Trang,8B1,Nữ,8,7.5,5.25,6.5,6.25,6.5,8.5,3.75,3.5,0
Lê Bích Hương,12A2,Nữ,6.25,1,0.25,9,3,6.75,5.25,7.5,0.25,3.25
Nguyễn Thái Sơn,4A3,Nam,1,2.75,3.5,6,1.5,4.5,2.5,4.75,4.75,3.75
Đỗ Thị Linh,6C1,Nữ,8.5,0.25,0.25,3.5,5,1.25,1.5,9.25,9.25,7.25
Võ Hoàng Thắng,10A1,Nam,1.75,0.75,3,5.75,3.25,6.75,5.25,8.75,7,1.75
Võ Thái Dũng,5A1,Nam,6.25,2,0,0.25,3,0.75,3.25,0,5.75,7.5
Trần Diễm Vy,3A2,Nữ,8.75,2,9,10,8.25,5.5,3,3.5,0,0.75
Hoàng Gia Phong,12B2,Nam,9.5,5.25,3.75,9.25,5.25,5.75,0.5,1.25,4.25,1
Lê Đức Khoa,4A2,Nam,6.25,0.5,1.75,1.5,1,9.5,9.5,2,1.25,2.75
Huỳnh Hữu Minh,12B1,Nam,7.25,9.75,1.25,0.5,2.25,6,9.75,4,9,1.75
Bùi Đình Hải,5A1,Nam,4,6,8.25,7.25,6,3,5.25,0.25,9.75,8.75
Phạm Đức Huy,1C1,Nam,8.25,4,2.5,8.5,8.25,5.5,9.75,3.5,4.75,10
Phan Đức Hải,3A2,Nam,1,8.25,4.75,8,5.25,5.25,3,1.5,10,5
Phạm Mai Yến,3A1,Nữ,3.75,8.5,9.5,3.75,0.25,1.5,10,9.25,2.25,4
Hoàng Hữu Long,12A1,Nam,4.75,8,2.25,8.75,1.75,8.5,1.25,3.25,3.5,4.75
Vũ Thị Thảo,6B1,Nữ,5.5,8,0.25,9,0,2,6.25,0.75,1.25,4.5
Hoàng Bích Linh,3A1,Nữ,0.25,1,1,7.75,7.75,9,8.25,4,8.25,8
Hoàng Phương Linh,9A1,Nữ,4.75,6,4,0.25,0.25,4.25,9.5,3.25,1,4
Trần Thái Bảo,9B1,Nam,2.25,1.5,3.75,8.25,9.5,6.25,7.5,1,5,4.25
Phan Diễm Hương,3C1,Nữ,1,3.25,8.5,5.75,3.5,1.25,0.5,4.5,3,8.5
Vũ Thanh Trâm,7C1,Nữ,7,7.75,6.75,2.5,4.25,5.75,0.75,8.75,7.75,5
Đặng Thu Hà,5A3,Nữ,8.5,5.75,7.25,6.5,2.75,7.25,5,7.5,3,2.25
Hoàng Ngọc Thảo,4B2,Nữ,10,3,8.5,0.75,3.75,0.25,4.5,0.75,3,5.25
Vũ Thanh Linh,12A1,Nữ,2,6.5,9.25,3,8.75,2.25,10,8.25,7,0.5
Võ Ngọc Hương,6A1,Nữ,7.75,0.5,1,1.25,7.75,5,0,4.75,8.5,2
Bùi Diễm Thảo,3A3,Nữ,1,0.5,5,4.75,7,8.5,5,7,10,1.5
Trần Thu Trang,5B2,Nữ,8.25,2.5,9.25,2,4.5,6.5,4,1.5,9.5,9.5
Nguyễn Diễm Hà,3A3,Nữ,6.25,2.5,4,2.75,1,2.25,7.5,6.5,1,2.25
Phan Thị Trâm,8A1,Nữ,1.75,8.75,9,9,5.25,0.25,4.75,4,2.5,7
Lê Gia Long,8B1,Nam,8.5,3.75,2,9.75,0.75,6,4,1.5,4.75,8.5
Đỗ Diễm Thảo,10C1,Nữ,2.75,4,6.25,5.5,5,6.75,0.25,1.5,4.5,4.25
Đặng Thanh Nhung,7C1,Nữ,8.5,7.5,3.25,8.25,5.25,3.5,0.75,0.5,7,5
Lê Như Linh,2C1,Nữ,9.25,7,1.75,6.25,5,5.75,8.5,4.5,7,0
Đặng Bích Linh,11C1,Nữ,4.25,8.25,1.75,5.5,9,9.25,1.5,6.5,2.5,1.75
Đặng Ngọc Vy,9A1,Nữ,0,3,7.25,7,9.75,6.75,1.75,2.5,1,9.5
Nguyễn Bích Hương,3B1,Nữ,3,9.25,8.75,4.5,3.75,5.75,9.25,8.75,1.25,2.75
Đặng Ngọc Lan,7A1,Nữ,8.75,4.5,5,2.75,3,2,8.25,3.25,10,9.25
Vũ Thu Vy,8A3,Nữ,2.5,7.75,3.5,4.25,5.25,8.5,3,7.25,7.5,2.25
Đặng Tuấn Sơn,1B1,Nam,5.25,5.75,1.75,4.75,0.25,3.75,1,0,3.5,6.25
Đặng Như Lan,7B2,Nữ,2.5,7.25,8.25,5.5,4,4.75,3.75,8.25,7,0.75
Đặng Đình Bảo,4A1,Nam,4.5,5.25,3.25,0.25,0,4,7.25,5,6.5,4
Đặng Thu Trang,9A3,Nữ,9,3.75,9.25,7.5,9,0,2.25,7.25,0.5,6
Phạm Tuấn Long,8A1,Nam,6.5,0.75,4.25,8.25,0.5,5.25,5.75,8.75,8.25,4.5
Bùi Phương Trâm,8B2,Nữ,4,4.5,3.75,4,3.75,0.5,7.75,8.25,2.75,10
Hoàng Tuấn Huy,6C1,Nam,7,7.25,9.75,3,9,2.75,3.25,2,7.75,7.75
Trần Thu Yến,1A1,Nữ,7.25,8.5,4.75,5,1.75,4.25,3.5,4.25,4.75,9.25
Vũ Diễm Trâm,12B1,Nữ,3.5,4.75,4.5,4.5,2.75,3.5,8.25,9,7,1
Võ Như Vy,4C1,Nữ,0,0.75,4,9.25,7.75,5.25,7,8.75,2.75,8.75
Phan Thu Hương,4A1,Nữ,1.5,3.5,3,6,5.25,0.75,7.25,5.5,3.75,1
Lê Thu Thảo,11A2,Nữ,7.5,2,6,10,0.75,0,4,4.5,4.25,10
Lê Gia Hải,2A2,Nam,2.5,6.25,2,0.75,6.5,4,5.5,1.75,1.25,0.25
Bùi Như Linh,7A2,Nữ,8.25,2.25,5.5,5,6,0.5,7.5,0.25,8,9.25
Huỳnh Ngọc Vy,12C1,Nữ,8.25,2,7,10,3,8,1.25,9.75,2.5,3
Vũ Hữu Bảo,9C1,Nam,3.25,2,5.25,1.5,9.5,3.25,1,2,0.5,7
Đỗ Tuấn Huy,12C1,Nam,7.5,0.25,9.5,1,7.75,5.5,2,9.75,6.5,1.75
Võ Gia Sơn,8B2,Nam,9,5.5,1.5,8.75,3.75,0,8,9.75,0.75,3.75
Bùi Như Linh,1B1,Nữ,3.25,9.25,4.75,0.25,2.75,0.5,3,5,7,8
Trần Phương Hương,8A1,Nữ,2.25,7.25,3.5,1.25,6,5.75,3.5,4.75,1,7.5
Nguyễn Đình Bảo,9A2,Nam,4.75,0,4.5,5.25,8.75,5.75,6.75,3.75,8.25,3.5
Bùi Hoàng Phong,10A2,Nam,2.25,6.25,7.25,3,3.75,1,9.5,2.75,3.25,6.25
Lê Gia Sơn,11B1,Nam,3.25,8.5,5.75,3.25,9,10,1.25,3.25,9,8.5
Vũ Diễm Nhi,8A1,Nữ,0.25,1,9,8,4,9.75,8.25,2.5,1.25,8.5
Trần Phương Trang,12A3,Nữ,2,8.25,8.75,0.5,5.75,4.25,8.5,3.25,6.75,8.25
Huỳnh Gia Huy,6B1,Nam,8,5.5,1,4,6.5,5.5,9,7.25,8.75,8.25
Phan Thị Thảo,9A1,Nữ,1.75,2.5,1.5,9.75,5.25,7,3,2.25,1.5,0.75
Hoàng Minh Khoa,1C1,Nam,2.5,2,9,1,3.5,3,9.75,1,4.25,2.75
Trần Đức Bảo,3B1,Nam,9,0.75,9.5,0.25,6,9,5,6.5,1,5.5
Đỗ Phương Hà,3C1,Nữ,3.75,0,0.5,7.25,3.25,7,6.75,0,0.5,3.75
Nguyễn Minh Khoa,6A1,Nam,1,7.5,4,2.75,7,8.25,5.25,1.25,7.75,9
Võ Văn Huy,7C1,Nam,7.75,4.5,6.25,2,2.75,7.75,6.25,9.25,5.75,7.5
Phạm Phương Trang,2A3,Nữ,8.5,7.5,7.5,4.25,9.5,4.5,6.75,7.25,6.5,3
Bùi Thanh Linh,6B1,Nữ,0,2,2,6.25,8.5,1.25,1,9.5,7.25,0.25
Đặng Gia Phong,11A3,Nam,6.25,0.5,0.25,5.75,2,5,7.75,1.25,7.25,2.25
Huỳnh Bích Lan,10A2,Nữ,1.5,9.5,2.75,7,3,2.5,4.5,7.75,6.75,1.75
Lê Bích Trang,8C1,Nữ,4.75,2,8,2.75,3,6,4,0.5,4.75,4.75
Trần Như Lan,5A1,Nữ,7.75,5.25,6,6.25,5,5.25,1,6,8.75,10
Huỳnh Phương Linh,10A3,Nữ,6.5,6,6.75,7.25,1.5,9.5,9.25,10,5.75,10
Bùi Đình Dũng,12A2,Nam,8.25,5.25,7.75,2.25,6.25,1.5,6,5.75,4,10
Vũ Thị Linh,9A1,Nữ,5,2.5,9.25,8,0,7.25,2.75,5,7,2.25
Phan Mai Trâm,4A1,Nữ,8.75,3.5,2.5,8.25,3.75,9.25,2.25,10,0.75,8.25
Vũ Gia Bảo,11B2,Nam,0.25,6.25,0,3,4,9.5,3.5,2.25,7,1.25
Phan Diễm Linh,9B1,Nữ,1.5,6.25,5.5,7,9.75,5.25,9.75,7.25,3.25,4.25
Phạm Như Trâm,9A1,Nữ,5.25,8.25,1.75,2.5,0.75,2,9.75,8.25,0,0.75
Hoàng Tuấn Long,6A2,Nam,0.75,9.75,5.5,2.75,3,3,3.25,5,2.25,10
Đặng Minh Đạt,8B2,Nam,2.25,3,5.25,8,3,0.75,8,6.5,1.75,4.25
Trần Thái Long,3A2,Nam,5.5,8.75,1.5,9.25,6,7.5,2,8.75,5.75,5.5
Lê Đình Dũng,12B2,Nam,3.75,4,4.75,9.75,2.25,1,7.25,5.75,0.5,8.25
Huỳnh Văn Phong,6C1,Nam,4.5,3.75,6.25,4.75,9.25,3.5,10,8.5,8.5,2.5
Bùi Mai Thảo,11A1,Nữ,6.5,4.75,1.5,6.25,4,1.75,5.5,0.75,9.75,2
Nguyễn Mai Nhi,7B1,Nữ,7.75,6,7.75,1.25,0.25,7,4,2.5,5.5,1.25
Phan Thái Phong,1B2,Nam,6.25,9.75,8.25,10,3.25,5.75,0.5,4.25,2.25,6.5
